TOTAL_SCORE : ,90.01
Tanggal Scoring,Nama Kolom,Jumlah Total Baris,Jumlah Null,Jumlah Tidak Null,Score (%),Status
2025-06-11 09:55:27,Timestamp,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Source IP Address,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Destination IP Address,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Source Port,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Destination Port,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Protocol,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Packet Length,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Packet Type,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Traffic Type,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Payload Data,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Malware Indicators,40000,20000,20000,50.0,WARN
2025-06-11 09:55:27,Anomaly Scores,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Alerts/Warnings,40000,20067,19933,49.83,WARN
2025-06-11 09:55:27,Attack Type,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Attack Signature,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Action Taken,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Severity Level,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,User Information,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Device Information,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Network Segment,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Geo-location Data,40000,0,40000,100.0,PASS
2025-06-11 09:55:27,Proxy Information,40000,19851,20149,50.37,WARN
2025-06-11 09:55:27,Firewall Logs,40000,19961,20039,50.1,WARN
2025-06-11 09:55:27,IDS/IPS Alerts,40000,20050,19950,49.88,WARN
2025-06-11 09:55:27,Log Source,40000,0,40000,100.0,PASS
